gene,kw_p,n_pat_CTL_CD8,n_pat_pre-Tex,n_pat_Tex-int,n_pat_Term-Tex,p_CTL_CD8_vs_pre-Tex,p_pre-Tex_vs_Tex-int,p_Tex-int_vs_Term-Tex,q_CTL_CD8_vs_pre-Tex,q_pre-Tex_vs_Tex-int,q_Tex-int_vs_Term-Tex
ZFP36,0.48188763117221833,19,19,19,17,0.17001577679662316,0.7927411758081045,0.7037595070497074,0.5100473303898695,0.7927411758081045,0.7927411758081045
ZFP36L1,0.08182760128049275,19,19,19,17,0.7042930589894307,0.10833740252317324,0.6803848701396208,0.7042930589894307,0.32501220756951976,0.7042930589894307
ZFP36L2,0.13678383792262275,19,19,19,17,0.1889257629567087,0.26725749315438785,0.2539734010115414,0.26725749315438785,0.26725749315438785,0.26725749315438785
ZC3H12A,0.4210684462396853,19,19,19,17,0.9070351944172667,0.1442744322628964,0.2408997586456455,0.9070351944172667,0.36134963796846825,0.36134963796846825
RC3H1,0.45014645224709426,19,19,19,17,0.9534383827988425,0.1989429808662312,0.9242650928503746,0.9534383827988425,0.5968289425986936,0.9534383827988425
RC3H2,0.19249955532276436,19,19,19,17,0.8266714041348247,0.06803551304773421,0.5159271549332294,0.8266714041348247,0.20410653914320265,0.7738907323998441
PCBP1,0.06491144222300878,19,19,19,17,0.17001577679662316,0.33533345431670925,0.07598012883439703,0.25502366519493475,0.33533345431670925,0.2279403865031911
ELAVL1,0.2983460322743911,19,19,19,17,0.770082144499669,0.18403488002046453,0.9494548389455761,0.9494548389455761,0.5521046400613936,0.9494548389455761
HNRNPLL,6.030684165533097e-05,19,19,19,17,0.0009702768869650083,0.4305457078102486,0.42825079969504054,0.002910830660895025,0.4305457078102486,0.4305457078102486
TIA1,0.3170437050478756,19,19,19,17,0.599231866303024,0.3501842790705516,0.6232931667564008,0.6232931667564008,0.6232931667564008,0.6232931667564008
