therapy,timepoint,response,n_cells,ZFP36,ZFP36L1,ZFP36L2,ZC3H12A,RC3H1,RC3H2,PCBP1,ELAVL1,HNRNPLL,TIA1
anti-CTLA4,Pre,Responder,229,2.188331127166748,1.8347163200378418,2.032015800476074,0.9454405903816223,0.8716985583305359,0.5081802606582642,0.9165393710136414,0.3678531348705292,0.9178157448768616,0.7302145957946777
anti-CTLA4,Pre,Non-responder,288,2.08432674407959,1.4657102823257446,1.1255221366882324,0.7600904703140259,1.0379425287246704,0.4427209496498108,1.4730008840560913,0.29317793250083923,0.6635115146636963,0.7364524006843567
anti-CTLA4+PD1,Post,Responder,1315,1.924033522605896,1.7931681871414185,1.2335340976715088,0.501633882522583,1.0709964036941528,0.4483359456062317,0.9443089962005615,0.2256832718849182,0.5052818655967712,0.6648378968238831
anti-CTLA4+PD1,Post,Non-responder,1190,2.0083730220794678,2.018521785736084,1.0166912078857422,0.5621231198310852,1.0996781587600708,0.5175206661224365,1.3759845495224,0.38005051016807556,0.8401002883911133,0.8728088736534119
anti-CTLA4+PD1,Pre,Responder,1305,1.9295254945755005,1.7397958040237427,1.4556533098220825,0.5455703735351562,0.9181076288223267,0.35548079013824463,0.8588530421257019,0.15018822252750397,0.5358379483222961,0.5449131727218628
anti-CTLA4+PD1,Pre,Non-responder,311,2.194611072540283,1.9596649408340454,1.2926931381225586,0.6432566046714783,1.2100610733032227,0.46802404522895813,1.2782341241836548,0.2870989143848419,0.8282644152641296,0.8197681307792664
anti-PD1,Post,Responder,1524,2.0025298595428467,1.6128650903701782,1.6802656650543213,0.6444222927093506,0.9387052655220032,0.32212361693382263,0.9533520936965942,0.21515747904777527,0.7507280111312866,0.5235586166381836
anti-PD1,Post,Non-responder,6334,2.0059704780578613,1.7802748680114746,1.3836654424667358,0.62567538022995,1.0146939754486084,0.4327447712421417,1.1710057258605957,0.25994011759757996,0.9012305736541748,0.7066416144371033
anti-PD1,Pre,Responder,1191,1.45164155960083,1.77632474899292,1.1638801097869873,0.27977848052978516,0.8816192746162415,0.3631603717803955,0.7389929890632629,0.17086051404476166,0.5978657007217407,0.5460782647132874
anti-PD1,Pre,Non-responder,2604,1.9550660848617554,1.6621843576431274,1.4151476621627808,0.5725731253623962,1.0096540451049805,0.35572534799575806,1.0618338584899902,0.24568749964237213,0.9464184641838074,0.6708680391311646
